Control_d18O,MeSPE_d18O,EtSPE_d18O,AC_d18O,Control_dD,MeSPE_dD,EtSPE_dD,AC_dD,MCM_d18O,MCM_dD,MCM_EtSPE_d18O,MCM_EtSPE_dD,Me_Conc,True_d18O,True_dD,instrument_error_d18O_upper,instrument_error_d18O_lower,instrument_error_dD_upper,instrument_error_dD_lower
-6.442,-2.85525,-6.1535,-5.897,-39.4775,-33.33025,-38.15925,-37.962,-6.2555,-39.13525,-6.0595,-37.693,0,-6.442,-39.4775,-6.162,-6.722,-38.0775,-40.8775
7.91675,10.0515,-0.97925,7.0865,-19.85175,-15.82275,-31.51475,-21.237,-4.35675,-37.87325,-5.26875,-37.64975,0.1,-6.442,-39.4775,,,,
21.983,6.82275,5.561,20.605,0.07225,-20.61325,-22.585,-2.0135,-2.086,-35.18225,-4.09525,-36.41425,0.2,-6.442,-39.4775,,,,
32.92375,13.37675,8.3695,30.70625,15.952,-11.571,-18.57975,12.047,-0.2645,-32.78675,-3.379,-35.46225,0.3,-6.442,-39.4775,,,,
40.79175,13.05625,6.012,39.24025,27.30625,-11.48425,-21.37,24.7385,0.99525,-31.234,-4.01125,-36.2985,0.4,-6.442,-39.4775,,,,
67.5735,37.0525,17.39475,65.91125,67.752,22.71375,-5.83575,64.81375,5.49475,-25.4185,-1.855,-33.42725,0.5,-6.442,-39.4775,,,,
