wn_meoh,abs_meoh,abs10e6_meoh,wn_etoh,abs_etoh,abs10e6_etoh,wn_h2o,abs_h2o,abs10e6_h2o,wn_hdo,abs_hdo,abs10e6_hdo,wn_facid,abs_facid,abs10e6_facid
7208.018509,7.81E-06,7.81139,7208.00021,2.84E-06,2.83685,7208.032321,3.16E-08,0.0316422,7208.032321,1.15E-06,1.15158,7198.019791,-1.22E-06,-1.224623
7207.958244,8.32E-06,8.31846,7207.939945,2.83E-06,2.83169,7207.972056,-1.92E-07,-0.191625,7207.972056,1.02E-06,1.0184,7197.959526,-2.80E-06,-2.80108
7207.897979,7.43E-06,7.42645,7207.879681,2.58E-06,2.5776,7207.911792,1.65E-07,0.165405,7207.911792,6.91E-07,0.690652,7197.899261,-1.46E-06,-1.459228
7207.837715,7.21E-06,7.20553,7207.819416,2.54E-06,2.54321,7207.851527,-9.34E-08,-0.0934225,7207.851527,1.31E-06,1.31319,7197.838997,2.64E-06,2.641237
7207.77745,6.94E-06,6.94138,7207.759152,2.40E-06,2.4005,7207.791262,1.03E-07,0.10344,7207.791262,1.97E-06,1.96908,7197.778732,5.94E-06,5.940901
7207.717185,7.28E-06,7.28483,7207.698887,2.11E-06,2.11452,7207.730997,-2.80E-08,-0.0280198,7207.730997,2.16E-06,2.15655,7197.718467,-8.65E-06,-8.651677
7207.656921,7.35E-06,7.34522,7207.638623,3.35E-06,3.35177,7207.670732,5.43E-08,0.0542564,7207.670732,1.97E-06,1.96834,7197.658202,-1.04E-07,-0.1036365
7207.596656,7.48E-06,7.48142,7207.578358,2.80E-06,2.79918,7207.610468,3.34E-07,0.333893,7207.610468,2.03E-06,2.02506,7197.597938,1.02E-06,1.021307
7207.536391,7.84E-06,7.83782,7207.518093,2.02E-06,2.0195,7207.550203,1.30E-07,0.130127,7207.550203,1.09E-06,1.09216,7197.537673,6.17E-08,0.06174949
7207.476126,6.68E-06,6.67812,7207.457829,2.25E-06,2.25456,7207.489938,1.08E-07,0.107792,7207.489938,1.57E-06,1.57368,7197.477408,1.73E-05,17.28128
7207.415862,7.77E-06,7.77483,7207.397564,2.63E-06,2.62608,7207.429673,2.39E-07,0.239067,7207.429673,1.31E-06,1.30938,7197.417144,-3.75E-06,-3.75306
7207.355597,7.87E-06,7.86997,7207.3373,3.27E-06,3.26808,7207.369408,8.30E-08,0.0829987,7207.369408,2.19E-06,2.18725,7197.356879,1.40E-05,13.96242
7207.295332,7.94E-06,7.94361,7207.277035,2.58E-06,2.57677,7207.309144,1.19E-07,0.118505,7207.309144,3.17E-06,3.16501,7197.296614,-6.63E-06,-6.62936
7207.235068,7.20E-06,7.20361,7207.216771,2.82E-06,2.81682,7207.248879,2.68E-07,0.267585,7207.248879,3.23E-06,3.22798,7197.236349,4.17E-06,4.172285
7207.174803,7.55E-06,7.55364,7207.156506,2.55E-06,2.54983,7207.188614,2.14E-07,0.213738,7207.188614,2.81E-06,2.8146,7197.176085,-2.15E-06,-2.147697
7207.114538,7.45E-06,7.4481,7207.096242,2.70E-06,2.70127,7207.128349,2.39E-07,0.238994,7207.128349,2.45E-06,2.44918,7197.11582,6.77E-06,6.768846
7207.054274,7.84E-06,7.8448,7207.035977,2.74E-06,2.73681,7207.068084,3.56E-07,0.355961,7207.068084,1.78E-06,1.77783,7197.055555,-4.49E-06,-4.486819
7206.994009,8.41E-06,8.40513,7206.975713,3.06E-06,3.06048,7207.00782,4.88E-07,0.487666,7207.00782,7.06E-07,0.705551,7196.995291,7.85E-07,0.784986
7206.933744,6.92E-06,6.92221,7206.915448,3.02E-06,3.01982,7206.947555,5.10E-07,0.509545,7206.947555,6.85E-07,0.684933,7196.935026,2.44E-05,24.42129
7206.87348,7.22E-06,7.21709,7206.855184,2.95E-06,2.95342,7206.88729,2.84E-07,0.283538,7206.88729,3.15E-07,0.314956,7196.874761,-2.23E-06,-2.231253
7206.813215,6.84E-06,6.84247,7206.794919,2.75E-06,2.74611,7206.827025,2.46E-07,0.245525,7206.827025,6.58E-07,0.657537,7196.814496,-4.48E-06,-4.484792
7206.75295,6.00E-06,5.99562,7206.734655,2.85E-06,2.84753,7206.76676,2.27E-07,0.226578,7206.76676,1.90E-07,0.189823,7196.754232,5.75E-06,5.751844
7206.692686,5.10E-06,5.10129,7206.67439,2.82E-06,2.81511,7206.706496,2.42E-07,0.241641,7206.706496,5.54E-07,0.554468,7196.693967,1.35E-05,13.52754
7206.632421,5.43E-06,5.42615,7206.614126,3.26E-06,3.26041,7206.646231,3.10E-07,0.310227,7206.646231,2.56E-07,0.256287,7196.633702,4.87E-06,4.866836
7206.572156,6.08E-06,6.07516,7206.553861,2.32E-06,2.32259,7206.585966,3.52E-07,0.352215,7206.585966,-1.57E-07,-0.157145,7196.573437,1.43E-05,14.28415
7206.511891,5.96E-06,5.95635,7206.493596,2.99E-06,2.98723,7206.525701,3.95E-07,0.394598,7206.525701,-1.38E-07,-0.138254,7196.513173,7.60E-06,7.600193
7206.451627,6.11E-06,6.10549,7206.433332,3.43E-06,3.42918,7206.465436,4.18E-07,0.418279,7206.465436,7.75E-08,0.0775444,7196.452908,-6.45E-06,-6.448605
7206.391362,6.69E-06,6.69482,7206.373067,2.66E-06,2.66485,7206.405172,5.59E-07,0.558993,7206.405172,4.20E-07,0.420413,7196.392643,-4.03E-06,-4.032796
7206.331097,5.67E-06,5.67175,7206.312803,2.71E-06,2.71083,7206.344907,2.99E-07,0.299343,7206.344907,3.36E-07,0.335667,7196.332379,3.73E-06,3.733191
7206.270833,6.96E-06,6.96495,7206.252538,2.84E-06,2.83747,7206.284642,3.31E-07,0.331253,7206.284642,3.34E-07,0.333965,7196.272114,-2.98E-06,-2.978537
7206.210568,6.78E-06,6.77518,7206.192274,2.97E-06,2.9666,7206.224377,4.47E-07,0.446747,7206.224377,1.30E-07,0.129565,7196.211849,-7.03E-07,-0.7027955
7206.150303,6.73E-06,6.72797,7206.132009,2.84E-06,2.83611,7206.164112,4.99E-07,0.499409,7206.164112,7.82E-07,0.781692,7196.151584,1.38E-05,13.76852
7206.090039,8.58E-06,8.57564,7206.071745,3.28E-06,3.2781,7206.103848,6.15E-07,0.615169,7206.103848,2.63E-07,0.262803,7196.09132,-6.02E-06,-6.020192
7206.029774,6.95E-06,6.94876,7206.01148,3.20E-06,3.19527,7206.043583,7.58E-07,0.757967,7206.043583,5.70E-07,0.570125,7196.031055,-2.06E-06,-2.061564
7205.969509,6.87E-06,6.86733,7205.951216,3.54E-06,3.53886,7205.983318,7.32E-07,0.731696,7205.983318,9.60E-07,0.960245,7195.97079,-4.69E-06,-4.687774
7205.909245,6.97E-06,6.96692,7205.890951,3.14E-06,3.14328,7205.923053,1.10E-06,1.10032,7205.923053,6.90E-07,0.690058,7195.910526,3.30E-06,3.298226
7205.84898,6.97E-06,6.97243,7205.830687,3.19E-06,3.19051,7205.862788,9.95E-07,0.995467,7205.862788,1.14E-06,1.14186,7195.850261,-7.19E-07,-0.7194968
7205.788715,7.04E-06,7.03812,7205.770422,3.48E-06,3.48288,7205.802523,1.46E-06,1.46372,7205.802523,1.03E-06,1.02559,7195.789996,-7.79E-06,-7.786978
7205.72845,7.34E-06,7.34144,7205.710158,3.51E-06,3.5067,7205.742259,1.71E-06,1.71225,7205.742259,1.75E-06,1.75367,7195.729731,8.56E-06,8.563538
7205.668186,7.69E-06,7.6884,7205.649893,3.64E-06,3.63585,7205.681994,2.16E-06,2.16247,7205.681994,2.73E-06,2.72794,7195.669467,5.86E-06,5.856898
7205.607921,6.69E-06,6.68522,7205.589629,3.35E-06,3.34753,7205.621729,2.96E-06,2.95952,7205.621729,3.92E-06,3.92205,7195.609202,1.29E-05,12.93255
7205.547656,6.62E-06,6.62402,7205.529364,2.74E-06,2.73515,7205.561464,3.81E-06,3.8103,7205.561464,4.95E-06,4.95458,7195.548937,1.15E-06,1.149824
7205.487392,7.20E-06,7.20149,7205.469099,2.66E-06,2.6643,7205.501199,5.24E-06,5.23654,7205.501199,4.81E-06,4.80625,7195.488672,-5.12E-06,-5.116212
7205.427127,6.61E-06,6.60662,7205.408835,3.03E-06,3.02558,7205.440935,7.84E-06,7.83734,7205.440935,3.52E-06,3.5158,7195.428408,-1.76E-06,-1.761512
7205.366862,7.57E-06,7.57238,7205.34857,3.98E-06,3.97534,7205.38067,1.21E-05,12.0733,7205.38067,2.32E-06,2.32183,7195.368143,4.69E-06,4.690568
7205.306598,6.01E-06,6.01363,7205.288306,3.29E-06,3.28853,7205.320405,1.78E-05,17.7602,7205.320405,2.25E-06,2.24814,7195.307878,-5.33E-06,-5.334126
7205.246333,5.55E-06,5.54615,7205.228041,3.32E-06,3.32311,7205.26014,2.37E-05,23.729,7205.26014,1.85E-06,1.85487,7195.247614,1.50E-05,15.01342
7205.186068,6.06E-06,6.0593,7205.167777,2.80E-06,2.8002,7205.199875,2.22E-05,22.1928,7205.199875,2.22E-06,2.22424,7195.187349,7.24E-06,7.242305
7205.125804,5.98E-06,5.9806,7205.107512,3.29E-06,3.28642,7205.139611,1.69E-05,16.8586,7205.139611,2.15E-06,2.15473,7195.127084,-8.17E-07,-0.8174256
7205.065539,5.93E-06,5.93029,7205.047248,3.23E-06,3.23369,7205.079346,1.07E-05,10.727,7205.079346,2.18E-06,2.18199,7195.066819,-6.02E-07,-0.6017286
7205.005274,5.53E-06,5.53212,7204.986983,3.13E-06,3.13413,7205.019081,7.16E-06,7.16444,7205.019081,1.99E-06,1.98552,7195.006555,4.04E-06,4.041003
7204.94501,5.96E-06,5.96292,7204.926719,3.23E-06,3.23237,7204.958816,4.94E-06,4.93929,7204.958816,2.23E-06,2.23479,7194.94629,3.12E-06,3.116143
7204.884745,6.08E-06,6.08022,7204.866454,2.91E-06,2.91391,7204.898551,3.20E-06,3.19693,7204.898551,2.47E-06,2.46757,7194.886025,-1.17E-05,-11.70765
7204.82448,6.55E-06,6.54974,7204.80619,2.97E-06,2.97363,7204.838287,2.18E-06,2.17788,7204.838287,3.31E-06,3.31159,7194.82576,1.21E-05,12.13941
7204.764215,5.87E-06,5.86828,7204.745925,2.65E-06,2.65094,7204.778022,1.98E-06,1.98343,7204.778022,5.00E-06,4.99711,7194.765496,-3.74E-06,-3.740962
7204.703951,7.58E-06,7.57989,7204.685661,2.91E-06,2.90801,7204.717757,1.43E-06,1.43079,7204.717757,5.02E-06,5.02059,7194.705231,-1.00E-06,-1.004508
7204.643686,7.40E-06,7.39501,7204.625396,3.21E-06,3.21446,7204.657492,1.27E-06,1.27304,7204.657492,4.90E-06,4.90442,7194.644966,-6.41E-07,-0.6414582
7204.583421,7.01E-06,7.00655,7204.565132,3.30E-06,3.30274,7204.597227,9.33E-07,0.932733,7204.597227,3.82E-06,3.81545,7194.584702,1.11E-05,11.07446
7204.523157,7.64E-06,7.64257,7204.504867,3.15E-06,3.15456,7204.536963,1.14E-06,1.14112,7204.536963,2.41E-06,2.41499,7194.524437,8.68E-06,8.683665
7204.462892,7.04E-06,7.04303,7204.444602,3.78E-06,3.78446,7204.476698,8.61E-07,0.861389,7204.476698,1.23E-06,1.23339,7194.464172,-2.69E-06,-2.687668
7204.402627,7.47E-06,7.46553,7204.384338,3.52E-06,3.5248,7204.416433,8.71E-07,0.870598,7204.416433,9.27E-07,0.927448,7194.403907,4.66E-06,4.662751
7204.342363,7.75E-06,7.75052,7204.324073,3.78E-06,3.77684,7204.356168,1.17E-06,1.16964,7204.356168,7.31E-07,0.731282,7194.343643,-3.79E-06,-3.785338
7204.282098,6.77E-06,6.76816,7204.263809,2.99E-06,2.99474,7204.295903,1.45E-06,1.45124,7204.295903,7.23E-07,0.722843,7194.283378,-1.04E-06,-1.044705
7204.221833,7.33E-06,7.33457,7204.203544,3.40E-06,3.40365,7204.235639,1.81E-06,1.81405,7204.235639,4.82E-07,0.481998,7194.223113,1.06E-05,10.63599
7204.161569,7.83E-06,7.83232,7204.14328,3.29E-06,3.28545,7204.175374,2.26E-06,2.25626,7204.175374,-2.17E-08,-0.021666,7194.162849,3.05E-06,3.048155
7204.101304,8.60E-06,8.60056,7204.083015,4.03E-06,4.02924,7204.115109,2.82E-06,2.82195,7204.115109,-4.73E-08,-0.0473409,7194.102584,-1.31E-05,-13.08268
7204.041039,8.17E-06,8.16784,7204.022751,3.60E-06,3.59882,7204.054844,3.19E-06,3.19235,7204.054844,-1.25E-07,-0.125068,7194.042319,4.04E-06,4.04231
7203.980774,7.79E-06,7.78875,7203.962486,2.89E-06,2.88779,7203.994579,5.22E-06,5.22058,7203.994579,3.43E-08,0.0342985,7193.982054,3.25E-07,0.32461
7203.92051,8.22E-06,8.21618,7203.902222,3.43E-06,3.43263,7203.934315,8.81E-06,8.80777,7203.934315,5.21E-07,0.520802,7193.92179,3.25E-06,3.253919
7203.860245,7.53E-06,7.52605,7203.841957,3.54E-06,3.5351,7203.87405,1.15E-05,11.4677,7203.87405,2.54E-07,0.254409,7193.861525,1.85E-06,1.852586
7203.79998,7.59E-06,7.59177,7203.781693,3.76E-06,3.76381,7203.813785,8.23E-06,8.2303,7203.813785,7.46E-07,0.746299,7193.80126,-2.71E-06,-2.713246
7203.739716,6.73E-06,6.72688,7203.721428,3.69E-06,3.69036,7203.75352,4.55E-06,4.55063,7203.75352,6.22E-07,0.621993,7193.740995,-6.71E-06,-6.709023
7203.679451,6.45E-06,6.44783,7203.661164,3.87E-06,3.87208,7203.693255,2.69E-06,2.68516,7203.693255,5.61E-07,0.560643,7193.680731,-1.14E-05,-11.42468
7203.619186,4.94E-06,4.9448,7203.600899,3.80E-06,3.80053,7203.632991,2.06E-06,2.05559,7203.632991,6.94E-07,0.693939,7193.620466,1.76E-06,1.755706
7203.558922,5.57E-06,5.56736,7203.540635,3.81E-06,3.80774,7203.572726,1.28E-06,1.28281,7203.572726,3.15E-07,0.31509,7193.560201,1.18E-05,11.83055
