etoh,d18O_true,dD_true,d18O_untrt,dD_untrt,d18O_ac,dD_ac,d18O_spe,dD_spe,d18O_mcmon,dD_mcmon,d18O_spe_mcm,dD_spe_mcm,instrument_error_d18O_upper,instrument_error_d18O_lower,instrument_error_dD_upper,instrument_error_dD_lower
4.84,-6.77475,-41.8585,-7.18925,-44.902,-7.27575,-45.445,-6.79125,-42.775,-9.89725,-61.6965,-7.04425,-44.587,-6.49475,-7.05475,-40.4585,-43.2585
4.26,-6.77475,-41.8585,-7.10175,-44.45575,-7.11175,-44.703,-6.69425,-42.53175,-9.20925,-57.705,-6.90675,-43.86,,,,
2.86,-6.77475,-41.8585,-6.97875,-43.663,-7.035,-44.1125,-6.56,-41.627,-8.751,-53.847,-6.69425,-42.71425,,,,
1.83,-6.77475,-41.8585,-6.938,-42.97775,-6.97025,-43.3625,-6.64625,-41.78175,-8.08525,-49.468,-6.80075,-42.75075,,,,
0.81,-6.77475,-41.8585,-6.862,-42.527,-6.75575,-42.427,-6.618,-41.65325,-7.51025,-45.749,-6.84625,-42.35525,,,,
0,-6.77475,-41.8585,-6.77475,-41.8585,-6.83525,-42.265,-6.72025,-41.58675,-6.63525,-41.6845,-6.63525,-41.6845,,,,
